date,customer_name,product,quantity,unit_price,total_amount
2024-01-05,Reliance Retail,Ergonomic Chair,45,3200,144000
2024-01-12,Tata Steel,Steel Workbench,15,5500,82500
2024-01-18,Aditya Birla,LED Desk Lamp,80,950,76000
2024-01-25,Reliance Retail,Office Desk,30,12500,375000
2024-02-02,ITC Limited,Conference Table,5,48000,240000
2024-02-10,Tata Steel,Cabinet,22,3800,83600
2024-02-18,Aditya Birla,Task Chair,60,2800,168000
2024-02-25,Reliance Retail,Bookshelf,12,9500,114000
2024-03-05,ITC Limited,Whiteboard,10,3500,35000
2024-03-12,Tata Steel,Storage Rack,18,4200,75600
2024-03-20,Reliance Retail,Office Partition,40,6200,248000
2024-03-28,Aditya Birla,Desk Lamp,90,850,76500
2024-04-03,ITC Limited,Workstation,25,16500,412500
2024-04-10,Tata Steel,File Cabinet,14,2800,39200
2024-04-18,Reliance Retail,Pedestal Fan,50,1200,60000
2024-04-25,Aditya Birla,Office Sofa,8,22000,176000
2024-05-02,ITC Limited,Bookshelf,20,8800,176000
2024-05-10,Tata Steel,Desk Light,100,650,65000
2024-05-18,Reliance Retail,Conference Chair,35,4500,157500
2024-05-25,Aditya Birla,Whiteboard,15,3200,48000
